7zip	23.01+dfsg-11
linux-headers-generic	6.8.0-88.89
linux-image-generic	6.8.0-88.89
linux-libc-dev	6.8.0-88.89
linux-tools-6.8.0-71	6.8.0-71.71
linux-tools-6.8.0-88	6.8.0-88.89
linux-tools-common	6.8.0-88.89
locales	2.39-0ubuntu8.6
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-base	11.6
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2build3
lsof	4.95.0-1build3
lvm2	2.03.16-3ubuntu3.2
lxd-agent-loader	0.7ubuntu0.1
lxd-installer	4ubuntu0.1
mailcap	3.70+nmu1ubuntu1
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mariadb-client	1:10.11.13-0ubuntu0.24.04.1
mariadb-client-core	1:10.11.13-0ubuntu0.24.04.1
mariadb-common	1:10.11.13-0ubuntu0.24.04.1
mariadb-server	1:10.11.13-0ubuntu0.24.04.1
mariadb-server-core	1:10.11.13-0ubuntu0.24.04.1
mawk	1.3.4.20240123-1build1
mc	3:4.8.30-1ubuntu0.1
mc-data	3:4.8.30-1ubuntu0.1
mdadm	4.3-1ubuntu2.1
media-types	10.1.0
modemmanager	1.23.4-0ubuntu2
motd-news-config	13ubuntu10.3
mount	2.39.3-9ubuntu6.3
mtr-tiny	0.95-1.1ubuntu0.1
multipath-tools	0.9.4-5ubuntu8
mysql-common	5.8+1.1.0build1
nagios-nrpe-server	4.1.0-1ubuntu3
nano	7.2-2ubuntu0.1
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
ncurses-term	6.4+20240113-1ubuntu2
needrestart	3.6-7ubuntu4.5
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netpbm	2:11.05.02-1.1build1
netplan-generator	1.1.2-8ubuntu1~24.04.1
netplan.io	1.1.2-8ubuntu1~24.04.1
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1build1
ntfs-3g	1:2022.10.3-1.2ubuntu3
numactl	2.0.18-1build1
open-iscsi	2.1.9-3ubuntu5.4
open-vm-tools	2:12.5.0-1~ubuntu0.24.04.2
openssh-client	1:9.6p1-3ubuntu13.14
openssh-server	1:9.6p1-3ubuntu13.14
openssh-sftp-server	1:9.6p1-3ubuntu13.14
openssl	3.0.13-0ubuntu3.6
os-prober	1.81ubuntu4
overlayroot	0.49~24.04.1
p7zip-full	16.02+transitional.1
packagekit	1.2.8-2ubuntu1.4
packagekit-tools	1.2.8-2ubuntu1.4
parted	3.6-4build1
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
php	2:8.3+93ubuntu2
php-auth-sasl	1.2.0-1
php-bcmath	2:8.3+93ubuntu2
php-common	2:93ubuntu2
php-curl	2:8.3+93ubuntu2
php-fpm	2:8.3+93ubuntu2
php-gd	2:8.3+93ubuntu2
php-gmp	2:8.3+93ubuntu2
php-imagick	3.7.0-4ubuntu3
php-intl	2:8.3+93ubuntu2
php-mail-mime	1.10.11-1
php-mbstring	2:8.3+93ubuntu2
php-mysql	2:8.3+93ubuntu2
php-net-sieve	1.4.6-1
php-net-smtp	1.11.1-1
php-net-socket	1.2.2-2
php-pspell	2:8.3+93ubuntu2
php-readline	2:8.3+93ubuntu2
php-redis	5.3.7+4.3.0-3ubuntu1
php-soap	2:8.3+93ubuntu2
php-xml	2:8.3+93ubuntu2
php-zip	2:8.3+93ubuntu2
php8.3	8.3.6-0ubuntu0.24.04.5
php8.3-bcmath	8.3.6-0ubuntu0.24.04.5
php8.3-cli	8.3.6-0ubuntu0.24.04.5
php8.3-common	8.3.6-0ubuntu0.24.04.5
php8.3-curl	8.3.6-0ubuntu0.24.04.5
php8.3-fpm	8.3.6-0ubuntu0.24.04.5
php8.3-gd	8.3.6-0ubuntu0.24.04.5
